heat,name,class,number,assignment,checked_in
2,"Smith, Olivia",BST,16,instructor,
2,"Stevens, Samuel",ES,55,worker,
2,"Thompson, Daniel",AST,163,worker,
2,"Tran, Avery",BST,75,captain,
2,"Turner, Elias",BS,813,worker,
2,"Ward, Daniel",NOVES,81,worker,
2,"White, Evelyn",ES,44,instructor,
2,"Williams, Emma",FS,39,timing,
2,"Wilson, Amelia",GST,45,start,
2,"Wright, Victoria",DSP,94,worker,
2,"Young, Luna",AST,26,captain,
3,"Alexander, Amelia",DST,2,timing,
3,"Anderson, Lucas",NOVEVX,56,worker,
3,"Bailey, Amelia",CAM-C,35,worker,
3,"Brown, Oliver",CS,91,instructor,
3,"Bryant, Ella",DST,12,worker,
3,"Carter, Theodore",EST,4,timing,
3,"Clark, Jackson",CAM-C,12,captain,
3,"Cole, Emily",XB,14,worker,
3,"Ellis, Aiden",XB,7,worker,
3,"Fisher, Sophia",NOVEST,0,worker,
3,"Ford, Grace",SSC,8,worker,
3,"Foster, Theodore",DS,4,worker,
3,"Gray, Avery",NOVCS,13,worker,
3,"Green, Chloe",SST,42,worker,
3,"Griffin, Evelyn",SRCS,21,start,
3,"Hall, Joseph",XB,47,captain,
3,"Hamilton, Lucas",DS,64,instructor,
3,"Hayes, Matthew",SRAS,6,worker,
3,"Herrera, Jackson",DS,117,worker,
3,"Jenkins, Elias",CAM-C,17,worker,
3,"Lewis, Aiden",SRCAM-T,50,grid,
3,"Long, Jack",NOVCAM-C,77,worker,
3,"Martin, Abigail",DS,32,instructor,
3,"Medina, David",DST,247,captain,
3,"Miller, Elijah",EST,89,worker,
3,"Morgan, James",NOVCS,910,worker,
3,"Morris, Mia",NOVCAM-C,64,worker,
3,"Myers, Penelope",NOVDS,22,worker,
3,"Patel, Chloe",NOVCS,71,worker,
3,"Perry, Aria",NOVCS,359,worker,
3,"Peterson, Benjamin",NOVDS,18,worker,
3,"Phillips, Zoey",DST,127,instructor,
3,"Reed, Lucas",DST,3,captain,
3,"Reyes, Hannah",DS,3,grid,
3,"Richardson, Emily",NOVXB,30,worker,
3,"Robinson, Ella",DS,99,captain,
3,"Russell, Layla",NOVCS,88,worker,
3,"Simmons, Isabella",NOVDST,72,worker,
3,"Stewart, Isaac",NOVCS,31,worker,
3,"Sullivan, Eleanor",NOVCS,177,worker,
3,"Sullivan, Eleanor",NOVCS,44,worker,
3,"Walker, David",NOVCS,555,worker,
3,"Watson, Matthew",NOVDS,76,worker,
3,"West, Daniel",XB,1,worker,
